Licor unixtime,LiCor time (Sec),LiCor conc (ppm),SCD unixtime,SCD time (sec),SCD 1 (ppm),SCD 2 (ppm),SCD 3 (ppm),SCD 4 (ppm)
1635306480,204,454,1635306888,612,453,458,458,466
1635306481,205,454,1635306891,615,453,457,458,465
1635306482,206,452,1635306894,618,452,458,457,465
1635306483,207,452,1635306897,621,452,458,457,465
1635306484,208,450,1635306900,624,451,457,458,465
1635306485,209,452,1635306903,627,452,458,459,465
1635306486,210,452,1635306906,630,452,458,459,465
1635306487,211,452,1635306909,633,452,458,459,465
1635306488,212,450,1635306912,636,452,457,459,465
1635306489,213,454,1635306915,639,452,457,458,465
1635306490,214,452,1635306918,642,452,457,458,464
1635306491,215,452,1635306921,645,452,456,459,464
1635306492,216,452,1635306924,648,453,456,457,463
1635306493,217,454,1635306927,651,453,456,458,462
1635306494,218,456,1635306930,654,453,455,458,462
1635306495,219,452,1635306933,657,453,455,458,462
1635306496,220,456,1635306936,660,453,455,458,462
1635306497,221,454,1635306939,663,452,456,458,462
1635306498,222,454,1635306942,666,454,454,458,473
1635306499,223,454,1635306945,669,463,473,467,483
1635306500,224,454,1635306948,672,498,499,486,520
1635306501,225,454,1635306951,675,555,692,508,589
1635306502,226,454,1635306954,678,741,811,741,963
1635306503,227,452,1635306957,681,884,843,903,973
1635306504,228,454,1635306960,684,880,825,935,960
1635306505,229,456,1635306963,687,871,817,910,925
1635306506,230,454,1635306966,690,845,797,883,910
1635306507,231,452,1635306969,693,826,788,820,767
1635306508,232,452,1635306972,696,799,773,785,652
1635306509,233,454,1635306975,699,713,750,595,626
1635306510,234,452,1635306978,702,618,738,595,560
1635306511,235,456,1635306981,705,608,651,573,559
1635306512,236,450,1635306984,708,583,618,567,550
1635306513,237,454,1635306987,711,568,589,553,541
1635306514,238,452,1635306990,714,552,552,549,528
1635306515,239,452,1635306993,717,542,549,542,518
1635306516,240,452,1635306996,720,540,533,541,511
1635306517,241,450,1635306999,723,531,529,529,508
1635306518,242,450,1635307002,726,526,527,527,503
1635306519,243,454,1635307005,729,518,520,516,501
1635306520,244,454,1635307008,732,513,517,511,499
1635306521,245,452,1635307011,735,510,506,506,497
1635306522,246,450,1635307014,738,508,500,492,495
1635306523,247,454,1635307017,741,503,496,486,490
1635306524,248,452,1635307020,744,501,491,478,488
1635306525,249,452,1635307023,747,501,486,477,483
1635306526,250,452,1635307026,750,494,481,467,483
1635306527,251,452,1635307029,753,491,480,464,481
1635306528,252,452,1635307032,756,488,476,462,477
1635306529,253,454,1635307035,759,486,471,460,476
1635306530,254,452,1635307038,762,485,470,463,474
1635306531,255,454,1635307041,765,482,470,462,472
1635306532,256,452,1635307044,768,479,471,463,473
1635306533,257,452,1635307047,771,478,469,464,473
1635306534,258,452,1635307050,774,475,468,463,471
1635306535,259,454,1635307053,777,474,467,462,471
1635306536,260,450,1635307056,780,473,467,463,470
1635306537,261,450,1635307059,783,468,468,466,470
1635306538,262,456,1635307062,786,466,469,466,470
1635306539,263,452,1635307065,789,464,468,465,468
1635306540,264,454,1635307068,792,459,468,464,469
1635306541,265,458,1635307071,795,459,467,464,469
1635306542,266,456,1635307074,798,458,466,464,469
1635306543,267,452,1635307077,801,458,464,465,467
1635306544,268,454,1635307080,804,457,462,465,467
1635306545,269,454,1635307083,807,457,462,464,467
1635306546,270,454,1635307086,810,456,461,465,467
1635306547,271,454,1635307089,813,456,461,467,467
1635306548,272,454,1635307092,816,457,461,466,467
1635306549,273,454,1635307095,819,456,462,465,466
1635306550,274,454,1635307098,822,456,461,464,465
1635306551,275,454,1635307101,825,455,461,463,465
1635306552,276,450,1635307104,828,456,460,464,465
1635306553,277,454,1635307107,831,456,460,464,464
1635306554,278,456,1635307110,834,456,460,463,463
1635306555,279,452,1635307113,837,455,458,463,461
1635306556,280,454,1635307116,840,455,459,464,460
1635306557,281,454,1635307119,843,455,458,465,461
1635306558,282,603,1635307122,846,455,457,464,463
1635306559,283,503,1635307125,849,454,457,464,463
1635306560,284,464,1635307128,852,455,457,463,462
1635306561,285,458,1635307131,855,455,456,463,461
1635306562,286,452,1635307134,858,455,456,461,461
1635306563,287,452,1635307137,861,455,456,461,460
1635306564,288,452,1635307140,864,456,457,462,460
1635306565,289,452,1635307143,867,455,458,462,460
1635306566,290,454,1635307146,870,455,458,462,459
1635306567,291,450,1635307149,873,454,459,462,458
1635306568,292,454,1635307152,876,454,458,462,458
1635306569,293,450,1635307155,879,454,458,463,458
1635306570,294,452,1635307158,882,453,459,462,459
1635306571,295,452,1635307161,885,453,459,461,458
1635306572,296,452,1635307164,888,454,458,460,457
1635306573,297,454,1635307167,891,453,459,459,456
1635306574,298,452,1635307170,894,453,459,459,456
1635306575,299,456,1635307173,897,453,459,459,457
1635306576,300,452,1635307176,900,453,459,459,456
1635306577,301,454,1635307179,903,452,459,460,456
1635306578,302,452,1635307182,906,452,458,460,456
1635306579,303,452,1635307185,909,452,459,460,456
1635306580,304,452,1635307188,912,452,459,460,456
1635306581,305,454,1635307191,915,452,459,460,457
1635306582,306,454,1635307194,918,452,460,460,457
1635306583,307,452,1635307197,921,451,460,461,458
1635306584,308,454,1635307200,924,451,460,460,458
1635306585,309,454,1635307203,927,451,460,460,457
1635306586,310,452,1635307206,930,451,460,459,456
1635306587,311,450,1635307209,933,452,460,460,456
1635306588,312,452,1635307212,936,452,460,459,456
1635306589,313,450,1635307215,939,452,459,459,456
1635306590,314,450,1635307218,942,452,459,458,457
1635306591,315,452,1635307221,945,452,459,457,455
1635306592,316,454,1635307224,948,452,460,457,455
1635306593,317,452,1635307227,951,452,460,458,456
1635306594,318,454,1635307230,954,452,461,467,457
1635306595,319,452,1635307233,957,476,490,514,475
1635306596,320,454,1635307236,960,497,528,563,553
1635306597,321,452,1635307239,963,533,919,998,685
1635306598,322,448,1635307242,966,903,1150,1264,1201
1635306599,323,454,1635307245,969,1137,1158,1174,1177
1635306600,324,454,1635307248,972,1095,1125,1101,1129
1635306601,325,452,1635307251,975,1067,1102,933,1029
1635306602,326,452,1635307254,978,1024,1040,907,928
1635306603,327,452,1635307257,981,838,953,821,733
1635306604,328,452,1635307260,984,795,738,766,701
1635306605,329,450,1635307263,987,746,669,663,671
1635306606,330,454,1635307266,990,630,650,634,611
1635306607,331,456,1635307269,993,589,626,600,590
1635306608,332,450,1635307272,996,556,616,577,577
1635306609,333,450,1635307275,999,532,605,543,565
1635306610,334,454,1635307278,1002,521,575,519,553
1635306611,335,450,1635307281,1005,515,550,511,530
1635306612,336,450,1635307284,1008,500,478,497,517
1635306613,337,452,1635307287,1011,497,483,488,507
1635306614,338,452,1635307290,1014,493,473,480,507
1635306615,339,452,1635307293,1017,485,461,481,505
1635306616,340,454,1635307296,1020,479,458,475,490
1635306617,341,454,1635307299,1023,477,455,475,482
1635306618,342,452,1635307302,1026,476,455,473,476
1635306619,343,450,1635307305,1029,475,458,468,471
1635306620,344,452,1635307308,1032,476,456,466,470
