unixtime,ws,wd,co2,temp
1625852346,9,220,422,41
1625852349,7,218,416,41
1625852352,7,236,394,41
1625852355,8,240,406,41
1625852358,9,220,425,41
1625852361,9,201,480,41
1625852364,8,197,665,41
1625852367,10,216,405,41
1625852370,10,205,368,41
1625852373,10,209,383,41
1625852376,15,222,392,41
1625852379,11,228,406,41
1625852382,9,229,425,41
1625852385,7,234,396,41
1625852388,9,218,414,41
1625852391,9,215,450,41
1625852394,12,205,474,41
1625852397,14,212,475,41
1625852400,13,208,341,41
1625852403,13,211,364,41
1625852406,14,212,348,41
1625852409,11,224,385,41
1625852412,11,215,292,41
1625852415,12,236,382,41
1625852418,15,216,345,41
1625852421,15,218,343,41
1625852424,14,200,416,40
1625852427,10,216,392,40
1625852430,10,241,370,40
1625852433,9,210,301,40
1625852436,11,225,321,41
1625852439,15,211,364,41
1625852442,16,206,444,40
1625852445,16,220,514,40
1625852448,15,232,445,40
1625852451,13,224,245,40
1625852454,13,205,337,40
1625852457,12,194,369,40
1625852460,13,192,340,40
1625852463,9,250,339,40
1625852466,6,215,454,40
1625852469,8,210,459,40
1625852472,11,240,442,40
1625852475,9,244,411,40
1625852478,7,248,425,40
1625852481,5,187,418,40
1625852484,4,220,444,41
1625852487,5,222,434,41
1625852490,6,219,450,41
1625852493,4,218,466,41
1625852496,6,215,456,41
1625852499,8,218,437,41
1625852502,10,240,348,41
1625852505,8,214,350,41
1625852508,6,231,465,41
1625852511,6,226,329,41
1625852514,6,241,379,41
1625852517,4,220,416,41
1625852520,3,219,385,41
1625852523,5,219,384,41
1625852526,7,227,362,41
1625852529,8,220,368,41
1625852532,8,209,355,41
1625852535,10,240,345,41
1625852538,10,206,346,41
1625852541,12,244,357,41
1625852544,10,257,363,41
1625852547,6,235,404,41
1625852550,5,235,417,41
1625852553,7,303,411,41
1625852556,6,266,416,41
1625852559,6,266,420,41
1625852562,6,268,432,41
1625852565,3,270,437,41
1625852568,3,246,461,41
1625852571,2,231,469,41
1625852574,1,226,464,41
1625852577,1,230,452,41
1625852580,2,204,427,41
1625852583,5,197,379,41
1625852586,7,223,342,41
1625852589,6,161,274,41
1625852592,7,215,290,41
1625852595,8,226,229,41
1625852598,7,206,368,41
1625852601,7,182,427,41
1625852604,5,217,408,41
1625852607,5,239,396,41
1625852610,7,242,424,41
1625852613,9,218,441,41
1625852616,9,241,443,41
1625852619,9,243,440,41
1625852622,7,278,437,41
1625852625,6,252,446,41
1625852628,7,212,444,41
1625852631,7,206,455,41
1625852634,8,223,465,41
1625852637,8,210,447,41
1625852640,9,229,449,41
1625852643,10,205,427,41
1625852646,9,216,424,41
1625852649,9,221,413,41
1625852652,8,199,369,41
1625852655,9,215,464,41
1625852658,8,208,477,41
1625852661,7,209,361,41
1625852664,5,251,378,41
1625852667,6,245,351,41
1625852670,7,211,354,41
1625852673,7,206,387,41
1625852676,8,206,396,41
1625852679,7,226,399,41
1625852682,9,211,369,41
1625852685,8,212,393,41
1625852688,7,240,391,41
1625852691,7,263,375,41
1625852694,10,230,381,41
1625852697,10,251,389,41
1625852700,9,255,406,41
1625852703,8,224,426,41
1625852706,9,200,449,41
1625852709,9,232,479,41
1625852712,11,215,416,41
1625852715,12,246,386,41
1625852718,12,225,407,41
1625852721,10,207,434,41
1625852724,10,223,420,41
1625852727,13,230,441,41
1625852730,12,251,412,41
1625852733,13,260,405,41
1625852736,11,250,365,41
1625852739,8,220,458,41
1625852742,10,217,380,41
1625852745,13,211,383,41
1625852748,12,218,375,41
1625852751,10,215,414,41
1625852754,8,224,436,41
1625852757,11,207,371,41
1625852760,15,215,384,41
1625852763,13,212,418,40
1625852766,15,228,367,41
1625852769,16,220,402,40
1625852772,15,223,495,40
1625852775,12,201,412,40
1625852778,11,224,360,40
1625852781,10,214,337,40
1625852784,11,252,409,40
1625852787,11,210,339,40
1625852790,12,212,380,40
1625852793,8,219,406,40
1625852796,9,211,411,40
1625852799,9,234,404,40
1625852802,11,213,389,41
1625852805,12,214,390,41
1625852808,11,226,381,41
1625852811,7,207,374,40
1625852814,7,224,392,41
1625852817,9,242,405,41
1625852820,9,205,391,41
1625852823,7,223,378,41
1625852826,8,216,398,41
1625852829,9,227,395,41
1625852832,8,246,381,41
1625852835,9,206,401,41
1625852838,7,222,432,41
1625852841,5,231,428,41
1625852844,5,216,424,41
1625852847,7,251,419,41
1625852850,6,230,419,41
1625852853,8,218,420,41
1625852856,10,218,439,41
1625852859,10,215,451,41
1625852862,12,210,452,41
1625852865,10,217,445,41
1625852868,8,230,406,41
1625852871,9,233,358,41
1625852874,9,207,352,41
1625852877,10,219,381,41
1625852880,10,226,423,41
1625852883,10,243,376,41
1625852886,11,205,388,41
1625852889,9,222,456,41
1625852892,13,213,404,41
1625852895,12,210,422,41
1625852898,11,210,427,41
1625852901,10,229,465,40
1625852904,10,222,306,41
1625852907,9,232,359,41
1625852910,10,218,417,41
1625852913,10,214,406,40
1625852916,8,212,402,41
1625852919,9,227,390,41
1625852922,8,231,385,41
1625852925,5,226,383,41
1625852928,6,225,384,41
1625852931,5,258,395,41
1625852934,6,247,399,41
1625852937,5,246,420,41
1625852940,5,206,430,41
1625852943,5,212,465,41
1625852946,7,219,450,41
1625852949,7,224,424,41
1625852952,7,213,447,41
1625852955,7,214,474,41
1625852958,9,226,342,41
1625852961,14,204,263,41
1625852964,11,210,446,41
1625852967,9,201,404,41
1625852970,9,231,400,41
1625852973,8,290,380,41
1625852976,8,206,398,41
