Read times - Voltage  graph	Voltage(V) - Voltage  graph	Read times - Current graph	Current(A) - Current graph	
472	4.984	472	0.0300	
473	4.984	473	0.0300	
474	4.984	474	0.0532	
475	4.985	475	0.0532	
476	4.985	476	0.0302	
477	4.983	477	0.0302	
478	4.983	478	0.0339	
479	4.985	479	0.0339	
480	4.985	480	0.0302	
481	4.985	481	0.0302	
482	4.985	482	0.0337	
483	4.985	483	0.0337	
484	4.985	484	0.0294	
485	4.979	485	0.0294	
486	4.979	486	0.0337	
487	4.985	487	0.0337	
488	4.985	488	0.0294	
489	4.977	489	0.0294	
490	4.977	490	0.0339	
491	4.986	491	0.0339	
492	4.986	492	0.0321	
493	4.978	493	0.0321	
494	4.978	494	0.0335	
495	4.986	495	0.0335	
496	4.986	496	0.0323	
497	4.978	497	0.0323	
498	4.978	498	0.0335	
499	4.986	499	0.0335	
500	4.986	500	0.0323	
501	4.977	501	0.0323	
502	4.977	502	0.0325	
503	4.985	503	0.0325	
504	4.985	504	0.0324	
505	4.978	505	0.0324	
506	4.978	506	0.0325	
507	4.985	507	0.0325	
508	4.985	508	0.0324	
509	4.979	509	0.0324	
510	4.979	510	0.0298	
511	4.985	511	0.0298	
512	4.985	512	0.0325	
513	4.977	513	0.0325	
514	4.977	514	0.0300	
515	4.986	515	0.0300	
516	4.986	516	0.0319	
517	4.977	517	0.0319	
518	4.977	518	0.0300	
519	4.985	519	0.0300	
520	4.985	520	0.0321	
521	4.978	521	0.0321	
522	4.978	522	0.0300	
523	4.985	523	0.0300	
524	4.985	524	0.0345	
525	4.978	525	0.0345	
526	4.978	526	0.0302	
527	4.985	527	0.0302	
528	4.985	528	0.0351	
529	4.978	529	0.0351	
530	4.978	530	0.0294	
531	4.985	531	0.0294	
532	4.985	532	0.0349	
533	4.978	533	0.0349	
534	4.978	534	0.0294	
535	4.985	535	0.0294	
536	4.985	536	0.0349	
537	4.979	537	0.0349	
538	4.979	538	0.0298	
539	4.985	539	0.0298	
540	4.985	540	0.0349	
541	4.979	541	0.0349	
542	4.979	542	0.0300	
543	4.985	543	0.0300	
544	4.985	544	0.0343	
545	4.983	545	0.0343	
546	4.983	546	0.0302	
547	4.985	547	0.0302	
548	4.985	548	0.0343	
549	4.983	549	0.0343	
550	4.983	550	0.0305	
551	4.986	551	0.0305	
552	4.986	552	0.0499	
553	4.982	553	0.0499	
554	4.982	554	0.0302	
555	4.986	555	0.0302	
556	4.986	556	0.0505	
557	4.983	557	0.0505	
558	4.983	558	0.0294	
559	4.985	559	0.0294	
560	4.985	560	0.0509	
561	4.984	561	0.0509	
562	4.984	562	0.0294	
563	4.984	563	0.0294	
564	4.984	564	0.0517	
565	4.983	565	0.0517	
566	4.983	566	0.0294	
567	4.984	567	0.0294	
568	4.984	568	0.0525	
569	4.984	569	0.0525	
570	4.984	570	0.0302	
571	4.984	571	0.0302	
572	4.984	572	0.0540	
573	4.985	573	0.0540	
574	4.985	574	0.0302	
575	4.985	575	0.0302	
576	4.985	576	0.0531	
577	4.985	577	0.0531	
578	4.985	578	0.0302	
579	4.984	579	0.0302	
580	4.984	580	0.0532	
581	4.985	581	0.0532	
582	4.985	582	0.0302	
583	4.986	583	0.0302	
584	4.986	584	0.0852	
585	4.985	585	0.0852	
586	4.985	586	0.0300	
587	4.986	587	0.0300	
588	4.986	588	0.0852	
589	4.984	589	0.0852	
590	4.984	590	0.0294	
591	4.985	591	0.0294	
592	4.985	592	0.0854	
593	4.985	593	0.0854	
594	4.985	594	0.0294	
595	4.985	595	0.0294	
596	4.985	596	0.0856	
597	4.986	597	0.0856	
598	4.986	598	0.0300	
599	4.984	599	0.0300	
