"unixtime","datetime","date","ws","wd","co2","temp"
1625605237,2021-07-06 21:00:37,"07/06/2021 21:00",3.02,44,405,41
1625605240,2021-07-06 21:00:40,"07/06/2021 21:00",2.68,78,399,41
1625605243,2021-07-06 21:00:43,"07/06/2021 21:00",1.68,56,387,41
1625605246,2021-07-06 21:00:46,"07/06/2021 21:00",1.68,39,375,41
1625605249,2021-07-06 21:00:49,"07/06/2021 21:00",1.68,29,390,41
1625605252,2021-07-06 21:00:52,"07/06/2021 21:00",2.35,36,392,41
1625605255,2021-07-06 21:00:55,"07/06/2021 21:00",2.68,44,409,41
1625605258,2021-07-06 21:00:58,"07/06/2021 21:00",3.35,28,415,41
1625605261,2021-07-06 21:01:01,"07/06/2021 21:01",4.02,21,428,41
1625605264,2021-07-06 21:01:04,"07/06/2021 21:01",4.69,23,452,41
1625605267,2021-07-06 21:01:07,"07/06/2021 21:01",4.69,22,446,41
1625605270,2021-07-06 21:01:10,"07/06/2021 21:01",4.02,49,468,41
1625605273,2021-07-06 21:01:13,"07/06/2021 21:01",4.02,20,454,41
1625605276,2021-07-06 21:01:16,"07/06/2021 21:01",4.36,19,404,41
1625605279,2021-07-06 21:01:19,"07/06/2021 21:01",3.69,21,381,41
1625605282,2021-07-06 21:01:22,"07/06/2021 21:01",3.02,18,385,41
1625605285,2021-07-06 21:01:25,"07/06/2021 21:01",4.02,54,366,41
1625605288,2021-07-06 21:01:28,"07/06/2021 21:01",3.35,17,387,41
1625605291,2021-07-06 21:01:31,"07/06/2021 21:01",2.68,28,443,41
1625605294,2021-07-06 21:01:34,"07/06/2021 21:01",2.01,22,438,41
1625605297,2021-07-06 21:01:37,"07/06/2021 21:01",2.01,26,432,41
1625605300,2021-07-06 21:01:40,"07/06/2021 21:01",2.01,81,412,41
1625605303,2021-07-06 21:01:43,"07/06/2021 21:01",1.68,68,409,41
1625605306,2021-07-06 21:01:46,"07/06/2021 21:01",2.01,68,436,41
1625605309,2021-07-06 21:01:49,"07/06/2021 21:01",2.01,65,433,41
1625605312,2021-07-06 21:01:52,"07/06/2021 21:01",2.35,62,434,41
1625605315,2021-07-06 21:01:55,"07/06/2021 21:01",2.01,84,425,41
1625605318,2021-07-06 21:01:58,"07/06/2021 21:01",2.01,64,420,41
1625605321,2021-07-06 21:02:01,"07/06/2021 21:02",2.01,61,421,41
1625605324,2021-07-06 21:02:04,"07/06/2021 21:02",1.68,61,417,41
1625605327,2021-07-06 21:02:07,"07/06/2021 21:02",1.34,61,414,41
1625605330,2021-07-06 21:02:10,"07/06/2021 21:02",1.01,79,415,41
1625605333,2021-07-06 21:02:13,"07/06/2021 21:02",1.34,60,418,41
1625605336,2021-07-06 21:02:16,"07/06/2021 21:02",1.34,57,426,41
1625605339,2021-07-06 21:02:19,"07/06/2021 21:02",1.68,62,425,42
1625605342,2021-07-06 21:02:22,"07/06/2021 21:02",2.35,43,419,42
1625605345,2021-07-06 21:02:25,"07/06/2021 21:02",1.68,64,416,42
1625605348,2021-07-06 21:02:28,"07/06/2021 21:02",1.68,23,410,42
1625605351,2021-07-06 21:02:31,"07/06/2021 21:02",2.35,25,420,42
1625605354,2021-07-06 21:02:34,"07/06/2021 21:02",2.01,29,434,42
1625605357,2021-07-06 21:02:37,"07/06/2021 21:02",1.68,16,438,42
1625605360,2021-07-06 21:02:40,"07/06/2021 21:02",1.34,43,435,42
1625605363,2021-07-06 21:02:43,"07/06/2021 21:02",1.01,13,437,42
1625605366,2021-07-06 21:02:46,"07/06/2021 21:02",1.01,14,445,42
1625605369,2021-07-06 21:02:49,"07/06/2021 21:02",1.68,17,439,42
1625605372,2021-07-06 21:02:52,"07/06/2021 21:02",2.68,17,444,42
