unixtime,ws,wd,co2,temp
1625605885,5,85,451,43
1625605888,7,65,450,43
1625605891,6,64,483,43
1625605894,6,61,463,43
1625605897,7,62,410,43
1625605900,7,81,453,43
1625605903,8,59,456,43
1625605906,10,60,422,43
1625605909,13,60,438,43
1625605912,13,62,308,43
1625605915,13,58,544,43
1625605918,15,60,356,43
1625605921,14,58,445,42
1625605924,13,60,282,42
1625605927,13,57,478,42
1625605930,11,24,561,42
1625605933,9,57,554,42
1625605936,11,52,473,42
1625605939,10,50,417,42
1625605942,9,51,418,42
1625605945,9,27,438,42
1625605948,8,38,430,42
1625605951,11,33,480,42
1625605954,10,24,444,42
1625605957,12,27,465,42
1625605960,12,36,485,42
1625605963,13,21,482,42
1625605966,13,31,484,42
1625605969,14,26,504,42
1625605972,11,34,452,42
1625605975,12,41,383,42
1625605978,11,40,408,42
1625605981,11,48,476,42
1625605984,12,39,416,42
1625605987,12,51,553,42
1625605990,14,29,538,42
1625605993,12,69,474,41
1625605996,13,70,426,41
1625605999,14,54,347,42
1625606002,11,47,507,41
1625606005,11,34,538,41
1625606008,14,39,477,41
1625606011,11,40,527,41
1625606014,12,16,330,41
1625606017,12,14,463,41
1625606020,11,48,353,41
1625606023,10,17,575,41
1625606026,8,19,353,41
1625606029,8,21,442,41
1625606032,9,21,402,41
1625606035,10,73,449,41
1625606038,10,51,453,41
1625606041,9,51,451,41
1625606044,8,78,420,41
1625606047,7,68,400,42
1625606050,8,85,402,42
1625606053,10,64,407,42
1625606056,11,61,427,42
1625606059,11,60,444,42
1625606062,8,33,490,41
1625606065,7,37,503,41
1625606068,6,43,493,41
1625606071,7,31,444,41
1625606074,7,21,403,41
1625606077,7,13,397,41
1625606080,4,30,389,41
1625606083,4,16,445,41
1625606086,6,16,443,42
1625606089,5,36,413,42
1625606092,6,22,417,42
1625606095,8,45,442,42
1625606098,8,46,437,42
1625606101,11,42,433,42
1625606104,10,43,466,42
1625606107,9,51,414,42
1625606110,10,80,350,42
1625606113,8,58,570,41
1625606116,8,63,451,41
1625606119,6,83,518,41
1625606122,7,62,395,42
1625606125,5,81,407,42
1625606128,7,60,444,42
1625606131,8,57,459,42
1625606134,6,57,442,42
1625606137,5,55,443,42
1625606140,3,65,448,42
1625606143,5,51,438,42
1625606146,7,54,475,42
1625606149,7,39,472,42
1625606152,6,43,457,42
1625606155,6,62,433,42
1625606158,6,45,379,42
1625606161,7,36,521,42
1625606164,6,60,478,42
1625606167,5,31,456,42
1625606170,6,67,466,42
1625606173,6,22,469,42
1625606176,6,15,477,42
1625606179,4,13,479,42
1625606182,4,13,474,42
1625606185,4,34,472,42
1625606188,8,17,461,42
1625606191,7,18,451,42
1625606194,9,19,454,42
1625606197,7,23,464,42
1625606200,9,44,456,42
1625606203,9,42,446,42
1625606206,8,51,455,42
1625606209,12,62,460,42
1625606212,10,62,472,42
1625606215,12,79,474,42
1625606218,12,62,509,42
1625606221,12,67,498,42
1625606224,9,71,483,42
1625606227,8,61,477,41
1625606230,8,60,434,42
1625606233,7,70,352,42
1625606236,6,57,381,42
1625606239,4,56,383,42
1625606242,4,59,390,42
1625606245,5,63,376,42
1625606248,5,31,336,42
1625606251,6,23,371,42
1625606254,5,18,379,42
1625606257,8,14,402,42
1625606260,8,32,406,42
1625606263,7,15,417,42
1625606266,8,15,411,42
1625606269,7,21,428,42
1625606272,7,19,459,42
1625606275,7,45,469,42
1625606278,5,33,474,42
1625606281,4,28,474,42
1625606284,7,50,467,42
1625606287,9,59,423,42
1625606290,8,53,438,42
1625606293,7,60,462,42
1625606296,7,64,406,42
1625606299,8,70,415,42
