Unixtime,WindCyc,WindDir,ConcData,TempData
1625609164,8.0,243.0,415.0,40.0
1625609167,7.0,233.0,436.0,40.0
1625609170,7.0,235.0,437.0,40.0
1625609173,10.0,218.0,446.0,40.0
1625609176,7.0,242.0,458.0,40.0
1625609179,8.0,223.0,453.0,40.0
1625609182,7.0,219.0,452.0,40.0
1625609185,8.0,222.0,449.0,40.0
1625609188,10.0,216.0,454.0,40.0
1625609191,11.0,211.0,444.0,40.0
1625609194,10.0,215.0,429.0,40.0
1625609197,9.0,201.0,439.0,40.0
1625609200,6.0,212.0,466.0,40.0
1625609203,5.0,222.0,445.0,40.0
1625609206,6.0,225.0,387.0,40.0
1625609209,7.0,215.0,366.0,40.0
1625609212,7.0,229.0,367.0,40.0
1625609215,6.0,226.0,419.0,40.0
1625609218,7.0,216.0,447.0,40.0
1625609221,9.0,219.0,441.0,40.0
1625609224,10.0,228.0,427.0,40.0
1625609227,10.0,211.0,405.0,40.0
1625609230,7.0,220.0,425.0,40.0
1625609233,6.0,229.0,427.0,40.0
1625609236,6.0,224.0,414.0,40.0
1625609239,5.0,225.0,451.0,40.0
1625609242,4.0,227.0,431.0,40.0
1625609245,4.0,220.0,425.0,40.0
1625609248,3.0,221.0,447.0,40.0
1625609251,2.0,221.0,411.0,40.0
1625609254,3.0,221.0,383.0,40.0
1625609257,3.0,220.0,388.0,40.0
1625609260,4.0,219.0,416.0,40.0
1625609263,3.0,218.0,424.0,40.0
1625609266,4.0,226.0,421.0,40.0
1625609269,3.0,226.0,426.0,41.0
1625609272,3.0,226.0,427.0,41.0
1625609275,5.0,221.0,428.0,41.0
1625609278,6.0,223.0,420.0,41.0
1625609281,6.0,224.0,426.0,41.0
1625609284,7.0,213.0,427.0,41.0
1625609287,6.0,225.0,437.0,41.0
1625609290,5.0,225.0,442.0,41.0
1625609293,4.0,225.0,435.0,41.0
1625609296,5.0,222.0,430.0,41.0
1625609299,6.0,213.0,426.0,41.0
1625609302,5.0,223.0,427.0,41.0
1625609305,6.0,220.0,425.0,41.0
1625609308,6.0,224.0,421.0,41.0
1625609311,4.0,224.0,429.0,41.0
1625609314,6.0,207.0,423.0,41.0
1625609317,8.0,214.0,421.0,41.0
1625609320,6.0,203.0,441.0,41.0
1625609323,5.0,203.0,451.0,41.0
1625609326,3.0,203.0,437.0,41.0
1625609329,5.0,204.0,443.0,41.0
1625609332,7.0,214.0,437.0,41.0
1625609335,6.0,212.0,408.0,41.0
1625609338,6.0,212.0,340.0,41.0
1625609341,5.0,210.0,436.0,41.0
1625609344,5.0,211.0,442.0,41.0
1625609347,3.0,211.0,443.0,41.0
1625609350,2.0,210.0,489.0,41.0
1625609353,3.0,212.0,453.0,41.0
1625609356,3.0,225.0,445.0,41.0
1625609359,4.0,216.0,426.0,41.0
1625609362,4.0,238.0,438.0,41.0
1625609365,6.0,212.0,437.0,41.0
1625609368,5.0,213.0,445.0,41.0
1625609371,5.0,216.0,436.0,41.0
1625609374,5.0,220.0,444.0,41.0
1625609377,6.0,219.0,451.0,41.0
1625609380,7.0,217.0,447.0,41.0
1625609383,5.0,234.0,451.0,41.0
1625609386,5.0,237.0,454.0,41.0
1625609389,5.0,221.0,452.0,41.0
1625609392,6.0,223.0,451.0,41.0
1625609395,8.0,246.0,439.0,41.0
1625609398,5.0,262.0,439.0,41.0
1625609401,4.0,262.0,427.0,41.0
1625609404,2.0,262.0,434.0,41.0
1625609407,4.0,247.0,431.0,41.0
1625609410,7.0,242.0,437.0,41.0
1625609413,5.0,147.0,435.0,41.0
1625609416,4.0,208.0,443.0,41.0
1625609419,8.0,207.0,445.0,41.0
1625609422,10.0,276.0,446.0,41.0
1625609425,6.0,249.0,442.0,41.0
1625609428,8.0,237.0,438.0,41.0
1625609431,12.0,216.0,433.0,41.0
1625609434,10.0,210.0,423.0,41.0
1625609437,9.0,204.0,415.0,41.0
1625609440,8.0,206.0,407.0,41.0
1625609443,9.0,243.0,418.0,41.0
1625609446,11.0,216.0,362.0,41.0
1625609449,12.0,234.0,383.0,41.0
1625609452,14.0,221.0,376.0,41.0
1625609455,12.0,228.0,495.0,41.0
1625609458,11.0,237.0,522.0,41.0
1625609461,13.0,231.0,503.0,41.0
1625609464,11.0,220.0,455.0,41.0
1625609467,11.0,227.0,525.0,41.0
1625609470,12.0,221.0,480.0,41.0
1625609473,8.0,263.0,463.0,41.0
1625609476,11.0,207.0,501.0,41.0
1625609479,13.0,250.0,492.0,41.0
1625609482,12.0,219.0,520.0,41.0
1625609485,13.0,230.0,518.0,41.0
1625609488,12.0,223.0,507.0,40.0
1625609491,12.0,232.0,442.0,41.0
1625609494,11.0,232.0,370.0,40.0
1625609497,11.0,209.0,316.0,40.0
1625609500,9.0,216.0,403.0,40.0
1625609503,10.0,229.0,360.0,40.0
1625609506,9.0,222.0,481.0,40.0
1625609509,9.0,227.0,311.0,40.0
1625609512,9.0,219.0,279.0,40.0
1625609515,8.0,207.0,428.0,40.0
1625609518,9.0,213.0,510.0,40.0
1625609521,9.0,212.0,499.0,40.0
1625609524,12.0,210.0,488.0,40.0
1625609527,10.0,216.0,493.0,40.0
1625609530,8.0,201.0,439.0,40.0
1625609533,7.0,218.0,421.0,40.0
1625609536,7.0,236.0,383.0,40.0
1625609539,5.0,237.0,410.0,40.0
1625609542,4.0,236.0,401.0,41.0
1625609545,3.0,235.0,395.0,41.0
1625609548,3.0,236.0,411.0,41.0
1625609551,6.0,254.0,452.0,41.0
1625609554,9.0,308.0,447.0,41.0
1625609557,10.0,278.0,429.0,41.0
1625609560,10.0,30.0,439.0,40.0
1625609563,13.0,276.0,458.0,40.0
1625609566,16.0,239.0,456.0,40.0
1625609569,13.0,245.0,447.0,40.0
1625609572,8.0,253.0,450.0,40.0
1625609575,6.0,261.0,460.0,40.0
1625609578,10.0,229.0,458.0,40.0
1625609581,12.0,344.0,441.0,40.0
1625609584,8.0,291.0,385.0,40.0
1625609587,11.0,331.0,419.0,40.0
1625609590,9.0,232.0,454.0,40.0
1625609593,8.0,216.0,432.0,40.0
1625609596,5.0,177.0,424.0,40.0
1625609599,4.0,127.0,439.0,40.0
1625609602,4.0,187.0,418.0,40.0
1625609605,10.0,233.0,432.0,40.0
1625609608,11.0,231.0,435.0,40.0
1625609611,15.0,222.0,411.0,40.0
1625609614,11.0,265.0,433.0,40.0
1625609617,11.0,242.0,431.0,40.0
1625609620,10.0,234.0,410.0,40.0
1625609623,8.0,216.0,410.0,40.0
1625609626,6.0,231.0,414.0,40.0
1625609629,7.0,219.0,411.0,40.0
1625609632,8.0,252.0,408.0,40.0
1625609635,9.0,228.0,409.0,40.0
1625609638,8.0,189.0,410.0,40.0
1625609641,12.0,244.0,422.0,40.0
1625609644,12.0,205.0,438.0,40.0
1625609647,10.0,218.0,434.0,40.0
1625609650,8.0,229.0,465.0,40.0
1625609653,7.0,212.0,478.0,40.0
1625609656,5.0,212.0,477.0,40.0
1625609659,5.0,211.0,425.0,40.0
1625609662,6.0,250.0,476.0,40.0
1625609665,7.0,260.0,338.0,40.0
