unixtime,ws,wd,co2,temp
1625853379,5,223,180,37
1625853382,5,284,229,37
1625853385,6,295,181,37
1625853388,5,244,226,37
1625853391,5,233,196,37
1625853394,3,233,235,37
1625853397,3,232,258,37
1625853400,2,234,88,37
1625853403,7,256,42,37
1625853406,7,288,63,37
1625853409,9,288,75,37
1625853412,8,280,111,37
1625853415,7,279,86,37
1625853418,6,280,109,37
1625853421,6,288,111,37
1625853424,5,286,133,37
1625853427,4,294,214,37
1625853430,5,281,206,37
1625853433,6,280,147,37
1625853436,6,256,45,37
1625853439,4,254,92,37
1625853442,5,255,93,37
1625853445,3,255,233,37
1625853448,6,234,277,37
1625853451,6,234,243,37
1625853454,6,231,124,37
1625853457,5,231,115,37
1625853460,4,231,97,37
1625853463,4,231,175,37
1625853466,5,231,130,37
1625853469,6,232,146,37
1625853472,5,232,147,37
1625853475,5,232,162,37
1625853478,5,232,176,37
1625853481,6,267,178,37
1625853484,8,281,159,37
1625853487,7,297,202,37
1625853490,7,289,225,36
1625853493,8,311,178,36
1625853496,7,314,160,36
1625853499,8,292,282,36
1625853502,5,290,134,36
1625853505,4,289,34,36
1625853508,4,289,43,36
1625853511,4,289,67,36
1625853514,4,289,62,37
1625853517,6,289,75,37
1625853520,7,287,68,37
1625853523,6,288,88,37
1625853526,7,289,86,36
1625853529,7,290,116,36
1625853532,7,280,142,36
1625853535,5,279,164,36
1625853538,4,276,98,36
1625853541,6,267,107,36
1625853544,4,258,115,36
1625853547,6,258,155,36
1625853550,4,258,183,36
1625853553,4,285,156,36
1625853556,4,286,200,36
1625853559,3,286,254,36
1625853562,2,285,252,37
1625853565,3,285,217,37
1625853568,5,284,133,37
1625853571,5,284,7,37
1625853574,5,260,111,37
1625853577,6,270,307,37
1625853580,7,286,258,37
1625853583,7,305,191,37
1625853586,4,305,154,37
1625853589,3,305,182,37
1625853592,3,277,211,37
1625853595,2,224,138,37
1625853598,1,224,148,37
1625853601,2,224,163,37
1625853604,3,230,154,37
1625853607,1,230,159,37
1625853610,2,230,178,37
1625853613,2,230,178,37
1625853616,3,230,174,37
1625853619,1,230,175,37
1625853622,4,231,160,37
1625853625,5,231,156,37
1625853628,4,257,147,37
1625853631,5,257,139,37
1625853634,3,256,135,37
1625853637,3,257,149,37
1625853640,3,256,157,37
1625853643,6,257,153,37
1625853646,7,300,153,37
1625853649,7,267,143,37
1625853652,6,264,160,37
1625853655,3,264,167,37
1625853658,3,264,167,37
1625853661,2,263,184,37
1625853664,6,283,154,38
1625853667,9,286,146,38
1625853670,9,298,148,37
1625853673,6,287,147,37
1625853676,6,298,138,37
1625853679,11,305,232,37
1625853682,10,310,154,37
1625853685,7,255,230,37
1625853688,6,294,306,37
1625853691,8,295,133,37
1625853694,8,287,192,37
1625853697,9,277,53,37
1625853700,8,281,68,36
1625853703,8,291,49,36
1625853706,8,291,120,36
1625853709,9,283,152,36
1625853712,10,277,73,36
1625853715,8,298,124,36
1625853718,6,298,360,36
1625853721,5,262,373,36
1625853724,5,223,218,36
1625853727,7,224,96,36
1625853730,7,293,13,36
1625853733,7,290,80,36
1625853736,6,263,101,36
1625853739,7,261,144,36
1625853742,7,272,180,36
1625853745,8,285,145,36
1625853748,7,285,147,36
1625853751,9,250,150,36
1625853754,7,254,142,36
1625853757,6,254,148,36
1625853760,4,254,156,36
1625853763,5,253,155,36
1625853766,10,291,153,36
1625853769,8,293,141,36
1625853772,9,284,127,36
1625853775,7,284,131,36
1625853778,9,284,143,36
1625853781,8,304,191,36
1625853784,6,301,251,36
1625853787,4,271,194,36
1625853790,4,268,258,36
1625853793,3,268,181,36
1625853796,4,279,131,36
1625853799,4,280,212,36
1625853802,3,280,112,36
1625853805,2,280,142,36
1625853808,2,280,223,36
1625853811,1,280,84,36
1625853814,0,280,104,36
1625853817,0,280,51,36
1625853820,1,280,81,36
1625853823,1,280,74,36
1625853826,0,280,137,36
1625853829,0,280,139,37
1625853832,0,280,139,37
1625853835,0,280,150,37
1625853838,0,280,138,37
1625853841,0,280,149,37
1625853844,0,280,157,37
1625853847,1,280,139,37
1625853850,1,280,124,37
1625853853,1,280,148,37
1625853856,1,280,137,37
1625853859,0,280,146,37
1625853862,0,280,153,37
1625853865,2,280,172,37
1625853868,3,280,174,37
1625853871,2,280,194,37
1625853874,1,280,180,37
1625853877,4,280,172,38
1625853880,4,281,142,38
1625853883,4,281,156,38
1625853886,3,281,133,38
1625853889,5,282,182,37
1625853892,6,281,200,38
1625853895,7,278,147,38
1625853898,7,289,0,37
1625853901,8,249,247,37
1625853904,6,285,216,37
1625853907,6,287,154,37
1625853910,4,287,186,37
1625853913,3,286,188,37
1625853916,2,279,276,37
1625853919,2,279,113,37
1625853922,3,279,47,37
1625853925,4,265,70,38
1625853928,2,264,148,38
1625853931,4,268,227,38
1625853934,5,268,271,38
1625853937,8,266,118,38
1625853940,8,270,14,38
1625853943,7,254,59,37
1625853946,8,276,121,37
1625853949,6,275,163,37
1625853952,6,276,214,37
1625853955,5,276,317,37
1625853958,3,275,277,37
1625853961,3,274,235,37
1625853964,6,275,86,37
1625853967,4,285,56,37
1625853970,3,276,143,37
1625853973,3,276,91,37
1625853976,3,276,108,38
1625853979,2,276,130,38
1625853982,4,276,191,38
1625853985,4,269,170,38
1625853988,8,251,174,37
1625853991,8,264,160,37
1625853994,7,284,235,37
1625853997,10,287,190,37
1625854000,8,282,279,37
1625854003,8,246,236,37
1625854006,10,276,163,37
1625854009,9,268,140,37
1625854012,7,271,76,37
1625854015,7,268,167,37
1625854018,7,296,193,37
1625854021,6,307,219,37
1625854024,5,307,234,37
1625854027,7,264,195,37
1625854030,7,265,101,37
1625854033,4,264,33,37
1625854036,4,264,59,37
1625854039,3,264,220,37
