Running bytecode...,,,,,,,,,,
SCD Initializing,,,,,,,,,,
Instantiated FRAM,,,,,,,,,,
,,,,,,,,,,
Memory:       6896,,,,,,,,,,
RF identifier 2,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,
Hub Connect:  1,,,,,,,,,,
Transmit On:  1,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,
,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,
1,1,946691774,707,24,33,358,0,4368,0,3.22
1,1,946691777,706,24,33,358,0,4368,0,3.24
1,1,946691780,707,24,33,358,0,4368,0,3.11
1,1,946691783,710,24,33,358,0,4368,0,3.22
1,1,946691786,713,24,33,358,0,4368,0,3.22
1,1,946691789,713,24,33,358,0,4368,0,3.22
1,1,946691792,715,24,33,359,0,4368,0,3.23
1,1,946691795,715,24,33,358,0,4368,0,3.11
1,1,946691798,716,24,33,359,0,4368,0,3.23
1,1,946691801,717,24,33,360,0,4368,0,3.22
1,1,946691804,718,24,33,358,0,4368,0,3.23
1,1,946691807,719,24,33,358,0,4368,0,3.23
1,1,946691810,717,24,33,358,0,4368,0,3.1
1,1,946691813,719,24,33,358,0,4368,0,3.23
1,1,946691816,718,24,33,358,0,4368,0,3.22
1,1,946691819,718,24,33,358,0,4368,0,3.22
1,1,946691822,720,24,33,359,0,4368,0,3.24
1,1,946691825,721,24,33,358,0,4368,0,3.11
1,1,946691828,723,24,33,358,0,4368,0,3.23
1,1,946691831,724,24,33,358,0,4368,0,3.23
1,1,946691834,724,24,33,358,0,4368,0,3.22
1,1,946691837,724,24,33,358,0,4368,0,3.23
1,1,946691840,725,24,33,358,0,4368,0,3.11
1,1,946691843,722,24,33,359,0,4368,0,3.24
1,1,946691846,722,24,33,358,0,4368,0,3.21
1,1,946691849,722,24,33,358,0,4368,0,3.22
1,1,946691852,721,24,33,358,0,4368,0,3.22
1,1,946691855,720,24,33,358,0,4368,0,3.09
1,1,946691858,718,24,33,359,0,4368,0,3.23
1,1,946691861,718,24,33,358,0,4368,0,3.22
1,1,946691864,717,24,33,358,0,4368,0,3.22
1,1,946691867,717,24,33,358,0,4368,0,3.23
1,1,946691870,718,24,33,358,0,4368,0,3.1
1,1,946691873,720,24,33,358,0,4368,0,3.23
1,1,946691876,721,24,33,358,0,4368,0,3.22
1,1,946691879,722,24,33,359,0,4368,0,3.22
1,1,946691882,722,24,33,359,0,4368,0,3.24
1,1,946691885,723,24,33,358,0,4368,0,3.11
1,1,946691888,723,24,33,358,0,4368,0,3.24
