Loading /flash/main.mpy...,,,,,,,,,,,,,,,,,,,,
Running bytecode...,,,,,,,,,,,,,,,,,,,,
SCD Initializing,,,,,,,,,,,,,,,,,,,,
Instantiated FRAM,,,,,,,,,,,,,,,,,,,,
Memory:       5888,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,1,946754863,693,24,34,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946754866,692,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754869,691,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754872,692,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754875,691,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754878,691,24,34,14,0,3792,0,3.12,TRUE,,,,,,,,,
1,1,946754881,691,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754884,691,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754887,691,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754890,692,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754893,692,24,34,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946754896,693,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754899,694,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754902,693,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754905,692,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754908,693,24,34,13,0,3792,0,3.19,TRUE,,,,,,,,,
1,1,946754911,694,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754914,694,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754917,694,24,34,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946754920,695,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754923,695,24,34,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754926,693,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754929,693,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754932,692,24,34,13,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946754935,692,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754938,691,24,34,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754941,689,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754944,688,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754947,687,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946754950,688,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754953,689,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754956,687,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754959,687,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754962,686,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946754965,686,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754968,686,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754971,687,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754974,686,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754977,686,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946754980,683,24,33,15,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754983,684,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754986,684,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754989,683,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754992,683,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946754995,683,24,33,13,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946754998,682,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755001,683,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755004,682,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755007,682,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755010,682,24,33,13,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946755013,681,24,33,13,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946755016,681,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755019,681,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755022,680,24,33,13,0,3792,0,3.07,TRUE,,,,,,,,,
1,1,946755025,679,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755028,678,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755031,678,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755034,678,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755037,678,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755040,676,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755043,676,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755046,676,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755049,675,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
