Memory:       8496,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  None,,,,,,,,,,,,,,,,,,,,
Hub Connect:  0,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,0,946685377,404,24,20,166,0,5056,0,3.25,TRUE,,,,,,,,,
1,0,946685380,400,24,20,124,0,5056,0,3.15,TRUE,,,,,,,,,
1,0,946685383,396,24,20,157,0,5056,0,3.2,TRUE,,,,,,,,,
1,0,946685386,397,24,20,167,0,5056,0,3.22,TRUE,,,,,,,,,
1,0,946685389,397,24,20,164,0,5056,0,3.25,TRUE,,,,,,,,,
1,0,946685392,394,24,20,245,0,5056,0,3.37,TRUE,,,,,,,,,
1,0,946685395,394,24,20,237,0,5056,0,3.38,TRUE,,,,,,,,,
1,0,946685398,394,24,20,249,0,5056,0,3.64,TRUE,,,,,,,,,
1,0,946685401,392,24,19,229,0,5056,0,3.34,TRUE,,,,,,,,,
1,0,946685404,390,24,19,243,0,5056,0,3.36,TRUE,,,,,,,,,
1,0,946685407,389,24,20,159,0,5056,0,3.23,TRUE,,,,,,,,,
1,0,946685410,388,24,20,156,0,5056,0,3.13,TRUE,,,,,,,,,
1,0,946685413,386,24,20,243,0,5056,0,3.53,TRUE,,,,,,,,,
1,0,946685416,385,24,20,192,0,5056,0,3.18,TRUE,,,,,,,,,
1,0,946685419,384,24,20,145,0,5056,0,3.27,TRUE,,,,,,,,,
1,0,946685422,386,24,20,242,0,5056,0,3.38,TRUE,,,,,,,,,
1,0,946685425,386,24,20,226,0,5056,0,3.47,TRUE,,,,,,,,,
1,0,946685428,386,24,20,151,0,5056,0,3.39,TRUE,,,,,,,,,
1,0,946685431,384,24,20,166,0,5056,0,3.31,TRUE,,,,,,,,,
1,0,946685434,384,24,20,133,0,5056,0,3.31,TRUE,,,,,,,,,
1,0,946685437,384,24,20,132,0,5056,0,3.27,TRUE,,,,,,,,,
1,0,946685440,382,24,20,215,0,5056,0,3.29,TRUE,,,,,,,,,
1,0,946685443,382,24,20,240,0,5056,0,3.47,TRUE,,,,,,,,,
1,0,946685446,383,24,20,239,0,5056,0,3.32,TRUE,,,,,,,,,
1,0,946685449,383,24,20,245,0,5056,0,3.36,TRUE,,,,,,,,,
1,0,946685452,384,24,20,160,0,5056,0,3.23,TRUE,,,,,,,,,
1,0,946685455,384,24,20,144,0,5056,0,3.16,TRUE,,,,,,,,,
1,0,946685458,385,24,20,196,0,5056,0,3.4,TRUE,,,,,,,,,
1,0,946685461,385,24,20,239,0,5056,0,3.29,TRUE,,,,,,,,,
1,0,946685464,385,24,19,224,0,5056,0,3.32,TRUE,,,,,,,,,
1,0,946685467,385,24,20,140,0,5056,0,3.14,TRUE,,,,,,,,,
1,0,946685470,383,24,20,150,0,5056,0,3.11,TRUE,,,,,,,,,
1,0,946685473,382,24,20,151,0,5056,0,3.31,TRUE,,,,,,,,,
1,0,946685476,382,24,20,149,0,5056,0,3.24,TRUE,,,,,,,,,
