Memory:       6032,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,1,946768281,709,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768284,708,23,37,358,0,3392,0,3.04,TRUE,,,,,,,,,
1,1,946768287,709,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768290,708,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768293,707,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768296,705,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768299,704,23,37,358,0,3392,0,3.04,TRUE,,,,,,,,,
1,1,946768302,703,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768305,703,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768308,703,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768311,705,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768314,704,23,37,358,0,3392,0,3.04,TRUE,,,,,,,,,
1,1,946768317,704,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768320,705,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768323,705,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768326,704,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768329,704,23,37,358,0,3392,0,3.05,TRUE,,,,,,,,,
1,1,946768332,701,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768335,701,23,37,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768338,701,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768341,701,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768344,700,23,37,358,0,3392,0,3.04,TRUE,,,,,,,,,
1,1,946768347,698,23,37,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768350,698,23,37,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768353,697,23,37,358,0,3392,0,3.19,TRUE,,,,,,,,,
1,1,946768356,695,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768359,693,23,37,358,0,3392,0,3.03,TRUE,,,,,,,,,
1,1,946768362,692,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768365,691,23,37,358,0,3392,0,3.19,TRUE,,,,,,,,,
1,1,946768368,691,23,37,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768371,689,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768374,687,23,37,358,0,3392,0,3.03,TRUE,,,,,,,,,
1,1,946768377,685,23,37,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768380,684,23,37,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768383,684,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768386,683,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768389,682,23,37,358,0,3392,0,3.04,TRUE,,,,,,,,,
1,1,946768392,682,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768395,682,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768398,682,23,37,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768401,681,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768404,681,23,37,357,0,3392,0,3.04,TRUE,,,,,,,,,
1,1,946768407,683,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768410,682,23,37,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768413,682,23,37,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768416,681,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768419,681,23,37,357,0,3392,0,3.19,TRUE,,,,,,,,,
1,1,946768422,680,23,37,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768425,679,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768428,680,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768431,679,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768434,678,23,37,358,0,3392,0,3.09,TRUE,,,,,,,,,
1,1,946768437,677,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768440,677,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768443,676,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768446,675,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768449,676,23,37,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768452,675,23,37,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768455,675,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768458,675,23,37,357,0,3392,0,3.05,TRUE,,,,,,,,,
1,1,946768461,674,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768464,673,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768467,672,23,37,358,0,3392,0,3.23,TRUE,,,,,,,,,
1,1,946768470,671,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768473,671,23,37,358,0,3392,0,3.05,TRUE,,,,,,,,,
1,1,946768476,673,23,37,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768479,673,23,37,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768482,673,23,37,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768485,674,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768488,674,23,37,358,0,3392,0,3.03,TRUE,,,,,,,,,
1,1,946768491,674,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768494,674,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768497,675,23,37,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768500,676,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768503,677,23,37,358,0,3392,0,3.03,TRUE,,,,,,,,,
1,1,946768506,681,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768509,681,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768512,683,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768515,684,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768518,683,23,37,358,0,3392,0,3.02,TRUE,,,,,,,,,
1,1,946768521,681,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768524,679,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768527,679,23,37,358,0,3392,0,3.19,TRUE,,,,,,,,,
1,1,946768530,679,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768533,681,23,37,358,0,3392,0,3.04,TRUE,,,,,,,,,
1,1,946768536,682,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768539,684,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768542,685,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768545,683,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768548,683,23,37,358,0,3392,0,3.04,TRUE,,,,,,,,,
1,1,946768551,684,23,37,358,0,3392,0,3.23,TRUE,,,,,,,,,
1,1,946768554,684,23,37,358,0,3392,0,3.19,TRUE,,,,,,,,,
1,1,946768557,684,23,37,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768560,682,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768563,683,23,37,358,0,3392,0,3.03,TRUE,,,,,,,,,
1,1,946768566,682,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768569,681,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768572,682,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768575,682,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768578,682,23,37,358,0,3392,0,3.04,TRUE,,,,,,,,,
1,1,946768581,682,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768584,682,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768587,682,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768590,681,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
