Memory:       7104,,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,
1,1,946770877,720,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770880,721,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770883,721,23,37,358,0,4496,0,3.18,TRUE,,,,,,,,,,
1,1,946770886,720,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770889,721,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770892,719,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770895,717,23,37,359,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770898,715,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770901,710,23,37,358,0,4496,0,3.25,TRUE,,,,,,,,,,
1,1,946770904,707,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770907,708,23,37,358,0,4496,0,3.19,TRUE,,,,,,,,,,
1,1,946770910,713,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770913,716,23,37,359,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770916,719,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770919,719,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770922,718,23,38,358,0,4496,0,3.19,TRUE,,,,,,,,,,
1,1,946770925,716,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770928,718,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770931,715,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770934,714,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770937,716,23,38,358,0,4496,0,3.2,TRUE,,,,,,,,,,
1,1,946770940,724,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770943,725,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770946,724,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770949,727,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770952,727,23,38,358,0,4496,0,3.18,TRUE,,,,,,,,,,
1,1,946770955,729,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770958,650,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770961,653,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770964,664,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770967,679,23,38,358,0,4496,0,3.18,TRUE,,,,,,,,,,
1,1,946770970,708,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770973,712,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770976,715,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770979,726,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770982,734,23,38,358,0,4496,0,3.18,TRUE,,,,,,,,,,
1,1,946770985,733,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770988,730,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770991,731,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770994,728,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770997,737,23,38,358,0,4496,0,3.19,TRUE,,,,,,,,,,
1,1,946771000,606,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771003,607,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771006,619,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946771009,636,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946771012,664,23,38,358,0,4496,0,3.15,TRUE,,,,,,,,,,
1,1,946771015,0,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771018,528,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946771021,761,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946771024,736,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771027,726,23,38,358,0,4496,0,3.14,TRUE,,,,,,,,,,
1,1,946771030,173,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771033,324,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771036,533,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946771039,751,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771042,760,23,38,358,0,4496,0,3.13,TRUE,,,,,,,,,,
1,1,946771045,186,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771048,336,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
