Memory:       7056,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  None,,,,,,,,,,,,,,,,,,,,
Hub Connect:  0,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,0,1644821526,797,24,33,217,0,4128,0,3.39,TRUE,,,,,,,,,
1,0,1644821529,797,24,32,222,0,4128,0,3.37,TRUE,,,,,,,,,
1,0,1644821532,798,24,32,211,0,4128,0,3.22,TRUE,,,,,,,,,
1,0,1644821535,796,24,32,174,0,4128,0,3.26,TRUE,,,,,,,,,
1,0,1644821538,796,24,33,213,0,4128,0,3.27,TRUE,,,,,,,,,
1,0,1644821541,796,24,33,215,0,4128,0,3.4,TRUE,,,,,,,,,
1,0,1644821544,797,24,33,223,0,4128,0,3.4,TRUE,,,,,,,,,
1,0,1644821547,797,24,33,153,0,4128,0,3.18,TRUE,,,,,,,,,
1,0,1644821550,797,24,32,163,0,4128,0,3.42,TRUE,,,,,,,,,
1,0,1644821553,797,24,32,190,0,4128,0,3.28,TRUE,,,,,,,,,
1,0,1644821556,797,24,33,229,0,4128,0,3.37,TRUE,,,,,,,,,
1,0,1644821559,797,24,33,143,0,4128,0,3.05,TRUE,,,,,,,,,
1,0,1644821562,796,24,33,145,0,4128,0,3.14,TRUE,,,,,,,,,
1,0,1644821565,797,24,33,141,0,4128,0,3.21,TRUE,,,,,,,,,
1,0,1644821568,798,24,32,142,0,4128,0,3.09,TRUE,,,,,,,,,
1,0,1644821571,798,24,32,175,0,4128,0,3.28,TRUE,,,,,,,,,
1,0,1644821574,798,24,32,164,0,4128,0,3.21,TRUE,,,,,,,,,
1,0,1644821577,798,24,32,150,0,4128,0,3.07,TRUE,,,,,,,,,
1,0,1644821580,799,24,32,156,0,4128,0,3.26,TRUE,,,,,,,,,
1,0,1644821583,799,24,32,155,0,4128,0,3.2,TRUE,,,,,,,,,
1,0,1644821586,800,24,32,161,0,4128,0,3.24,TRUE,,,,,,,,,
1,0,1644821589,800,24,32,151,0,4128,0,3.18,TRUE,,,,,,,,,
1,0,1644821592,799,24,32,152,0,4128,0,3.13,TRUE,,,,,,,,,
1,0,1644821595,799,24,32,168,0,4128,0,3.24,TRUE,,,,,,,,,
